x y z Ts
5.3612280000e-02 4.5159740000e-02 0.0000000000e+00 5.3622582021e+02
5.3156340000e-02 4.5974650000e-02 0.0000000000e+00 5.3257111219e+02
5.2698190000e-02 4.6786730000e-02 0.0000000000e+00 5.3080061372e+02
5.2243130000e-02 4.7586880000e-02 0.0000000000e+00 5.3098856990e+02
5.1793370000e-02 4.8371080000e-02 0.0000000000e+00 5.3279773530e+02
5.1348440000e-02 4.9140480000e-02 0.0000000000e+00 5.3561422030e+02
5.0905320000e-02 4.9900680000e-02 0.0000000000e+00 5.3883110947e+02
5.0459570000e-02 5.0659130000e-02 0.0000000000e+00 5.4193908375e+02
5.0008960000e-02 5.1419690000e-02 0.0000000000e+00 5.4467365310e+02
4.9555300000e-02 5.2178940000e-02 0.0000000000e+00 5.4682094749e+02
4.9101640000e-02 5.2931920000e-02 0.0000000000e+00 5.4818190521e+02
4.8647550000e-02 5.3679190000e-02 0.0000000000e+00 5.4881700466e+02
4.8189290000e-02 5.4427090000e-02 0.0000000000e+00 5.4878678901e+02
4.7721140000e-02 5.5184520000e-02 0.0000000000e+00 5.4816908007e+02
4.7238330000e-02 5.5958910000e-02 0.0000000000e+00 5.4706210032e+02
4.6740200000e-02 5.6750450000e-02 0.0000000000e+00 5.4565411627e+02
4.6231240000e-02 5.7551760000e-02 0.0000000000e+00 5.4415623235e+02
4.5717050000e-02 5.8353470000e-02 0.0000000000e+00 5.4284589312e+02
4.5201890000e-02 5.9149110000e-02 0.0000000000e+00 5.4188950128e+02
4.4687970000e-02 5.9935100000e-02 0.0000000000e+00 5.4136929467e+02
4.4175660000e-02 6.0711180000e-02 0.0000000000e+00 5.4126193050e+02
4.3662800000e-02 6.1480700000e-02 0.0000000000e+00 5.4142416146e+02
4.3146020000e-02 6.2248580000e-02 0.0000000000e+00 5.4168669926e+02
4.2623610000e-02 6.3017270000e-02 0.0000000000e+00 5.4188711713e+02
4.2096580000e-02 6.3785140000e-02 0.0000000000e+00 5.4185923999e+02
4.1567610000e-02 6.4548160000e-02 0.0000000000e+00 5.4148309952e+02
4.1039470000e-02 6.5302400000e-02 0.0000000000e+00 5.4074421829e+02
4.0512800000e-02 6.6047210000e-02 0.0000000000e+00 5.3963646503e+02
3.9985980000e-02 6.6784760000e-02 0.0000000000e+00 5.3818498054e+02
3.9458300000e-02 6.7516210000e-02 0.0000000000e+00 5.3648148641e+02
3.8929550000e-02 6.8241860000e-02 0.0000000000e+00 5.3462516856e+02
3.8397840000e-02 6.8964290000e-02 0.0000000000e+00 5.3270879012e+02
3.7861130000e-02 6.9686110000e-02 0.0000000000e+00 5.3087059629e+02
3.7319830000e-02 7.0406840000e-02 0.0000000000e+00 5.2921246246e+02
3.6774310000e-02 7.1125750000e-02 0.0000000000e+00 5.2781832664e+02
3.6223310000e-02 7.1844350000e-02 0.0000000000e+00 5.2678148858e+02
3.5666410000e-02 7.2562960000e-02 0.0000000000e+00 5.2609868601e+02
3.5105310000e-02 7.3279460000e-02 0.0000000000e+00 5.2573765803e+02
3.4541390000e-02 7.3991870000e-02 0.0000000000e+00 5.2564518670e+02
3.3974890000e-02 7.4699800000e-02 0.0000000000e+00 5.2573638773e+02
3.3405780000e-02 7.5403430000e-02 0.0000000000e+00 5.2590994094e+02
3.2834090000e-02 7.6102470000e-02 0.0000000000e+00 5.2610165636e+02
3.2259710000e-02 7.6797250000e-02 0.0000000000e+00 5.2624142089e+02
3.1681580000e-02 7.7488840000e-02 0.0000000000e+00 5.2630174680e+02
3.1099190000e-02 7.8177710000e-02 0.0000000000e+00 5.2627611711e+02
3.0513040000e-02 7.8863310000e-02 0.0000000000e+00 5.2616101811e+02
2.9923310000e-02 7.9545330000e-02 0.0000000000e+00 5.2599074132e+02
2.9329700000e-02 8.0224110000e-02 0.0000000000e+00 5.2579521414e+02
2.8731480000e-02 8.0900180000e-02 0.0000000000e+00 5.2561878025e+02
2.8127650000e-02 8.1574740000e-02 0.0000000000e+00 5.2549002970e+02
2.7517550000e-02 8.2248200000e-02 0.0000000000e+00 5.2544455741e+02
2.6902240000e-02 8.2919460000e-02 0.0000000000e+00 5.2548799497e+02
2.6283490000e-02 8.3586230000e-02 0.0000000000e+00 5.2563666466e+02
2.5663210000e-02 8.4246740000e-02 0.0000000000e+00 5.2586419947e+02
2.5041920000e-02 8.4900210000e-02 0.0000000000e+00 5.2616146661e+02
2.4418520000e-02 8.5547940000e-02 0.0000000000e+00 5.2649569259e+02
2.3790880000e-02 8.6192020000e-02 0.0000000000e+00 5.2684585464e+02
