# markii vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_markii_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.00842 cm / 折れ角 max 79.32° / R_LE 1.279 R_TE 0.018 cm
i,x_cm,y_cm
1074,1.97202,8.60005
1075,1.96627,8.60716
1076,1.96052,8.61426
1077,1.95477,8.62137
1078,1.94901,8.62846
1079,1.94324,8.63556
1080,1.93747,8.64265
1081,1.93170,8.64973
1082,1.92592,8.65681
1083,1.92013,8.66389
1084,1.91434,8.67096
1085,1.90854,8.67803
1086,1.90274,8.68509
1087,1.89693,8.69215
1088,1.89112,8.69920
1089,1.88530,8.70625
1090,1.87948,8.71330
1091,1.87365,8.72034
1092,1.86781,8.72737
1093,1.86197,8.73440
1094,1.85612,8.74143
1095,1.85027,8.74844
1096,1.84441,8.75546
1097,1.83854,8.76247
1098,1.83266,8.76947
1099,1.82678,8.77647
1100,1.82089,8.78346
1101,1.81500,8.79044
1102,1.80910,8.79742
1103,1.80319,8.80440
1104,1.79727,8.81136
1105,1.79134,8.81832
1106,1.78541,8.82528
1107,1.77947,8.83222
1108,1.77352,8.83916
1109,1.76757,8.84610
1110,1.76160,8.85302
1111,1.75563,8.85994
1112,1.74965,8.86685
1113,1.74366,8.87376
