x_m,r_m,x_over_rt,r_over_rt,theta_rad,M_wall  (非粘性設計壁 = 逆 MOC; r_t 0.07702 m)
2.450293063921241021e+00,5.664472485718531347e-01,3.181372453805817813e+01,7.354547501582096913e+00,1.071536551348254290e-01,5.089511869567075131e+00
2.490632804394822486e+00,5.707404872114896222e-01,3.233748123078190417e+01,7.410289369144242855e+00,1.049110461868617561e-01,5.108495559228724225e+00
2.530976708271223785e+00,5.749435779180365191e-01,3.286129197963157367e+01,7.464860788341164621e+00,1.027077837523067555e-01,5.127154602193371602e+00
2.571316404909906872e+00,5.790572024715557875e-01,3.338504810321872895e+01,7.518270611160162709e+00,1.005434267404976267e-01,5.145492651955255958e+00
2.611643321121712269e+00,5.830819828037772101e-01,3.390863829033643384e+01,7.570526912539303765e+00,9.841753008236668598e-02,5.163513887994844787e+00
2.651950394085741625e+00,5.870190835334511137e-01,3.443197083985641882e+01,7.621644813469892199e+00,9.632960814668610483e-02,5.181222460073843905e+00
2.692229831268308171e+00,5.908693919858244437e-01,3.495494457632183583e+01,7.671635834664040310e+00,9.427918734731095818e-02,5.198622166506009279e+00
2.732473924457031078e+00,5.946338327480585884e-01,3.547745941907336942e+01,7.720511980629168214e+00,9.226579125203443477e-02,5.215717029289709927e+00
2.772675184094329115e+00,5.983133796115563952e-01,3.599941812638702743e+01,7.768285894722882112e+00,9.028893405883270384e-02,5.232511146887666165e+00
2.812826229028230429e+00,6.019090462430912725e-01,3.652072486403830709e+01,7.814970738030267761e+00,8.834813005369764050e-02,5.249007862647911971e+00
2.852919814727751913e+00,6.054218706087629576e-01,3.704128557164050761e+01,7.860579987130133617e+00,8.644288834923588571e-02,5.265211435127241657e+00
2.892948881789757287e+00,6.088529327581865269e-01,3.756100859244036627e+01,7.905127664998525816e+00,8.457271572274609184e-02,5.281125727707545181e+00
2.932906470114181374e+00,6.122033321947094597e-01,3.807980355900001257e+01,7.948628047191760970e+00,8.273711890777438183e-02,5.296754309424206220e+00
2.972785532090085781e+00,6.154741145480446818e-01,3.859757896767184349e+01,7.991094709790244721e+00,8.093560954012904429e-02,5.312101077980368125e+00
3.012578835606879668e+00,6.186662391659369931e-01,3.911424091933107405e+01,8.032540108620318975e+00,7.916770429764334593e-02,5.327169770112689662e+00
3.052280659555225650e+00,6.217811241097563890e-01,3.962971513315016381e+01,8.072982655281178310e+00,7.743289248695428562e-02,5.341963803117896425e+00
3.091884682350956925e+00,6.248199673279110078e-01,4.014391953195217866e+01,8.112437903504426728e+00,7.573068125000939621e-02,5.356487735708655329e+00
3.131383987034904948e+00,6.277837491983040419e-01,4.065676430842514577e+01,8.150918582164424109e+00,7.406059451151304762e-02,5.370744447499883556e+00
3.170772145215569271e+00,6.306735719372607019e-01,4.116816599864410620e+01,8.188439002041816295e+00,7.242214944017846823e-02,5.384737721591694282e+00
3.210044444179476653e+00,6.334910300697551566e-01,4.167806341443100848e+01,8.225019865875813352e+00,7.081483741805527643e-02,5.398471634006077657e+00
3.249193162170438409e+00,6.362367668504016471e-01,4.218635629927860720e+01,8.260669525453149475e+00,6.923821081656750254e-02,5.411949331614179570e+00
3.288214250817421025e+00,6.389124971773746386e-01,4.269299209059232680e+01,8.295410246395411136e+00,6.769176061505392805e-02,5.425174692496790740e+00
3.327100799893393912e+00,6.415190433870714415e-01,4.319788106846785070e+01,8.329252705622844033e+00,6.617503604855787258e-02,5.438150956594731689e+00
3.365848624880440010e+00,6.440580019636492626e-01,4.370096890262840361e+01,8.362217631311986921e+00,6.468754501893327069e-02,5.450882477188519815e+00
3.404450755238952908e+00,6.465300971415058884e-01,4.420216509009286909e+01,8.394314426661981798e+00,6.322884769849493325e-02,5.463371693804664808e+00
3.442903829054783760e+00,6.489370722987344298e-01,4.470142598097615405e+01,8.425565727067441557e+00,6.179845100967931715e-02,5.475622897910882969e+00
3.481201518284751995e+00,6.512797723849157450e-01,4.519866941423983064e+01,8.455982503050060828e+00,6.039591875683980593e-02,5.487639472523619055e+00
3.519339131587883696e+00,6.535594736121621562e-01,4.569383447919869212e+01,8.485581324489251287e+00,5.902079470013245344e-02,5.499424576090646610e+00
3.557312620174582385e+00,6.557775743743802233e-01,4.618686860782371184e+01,8.514380347628929258e+00,5.767261724383559995e-02,5.510981856607275020e+00
3.595117232305883537e+00,6.579352430254608031e-01,4.667771010524387520e+01,8.542394741956124804e+00,5.635094642873833548e-02,5.522314660827301935e+00
3.632747613204287518e+00,6.600334384614982008e-01,4.716628944695257530e+01,8.569636957433109714e+00,5.505535558428109599e-02,5.533426120966770334e+00
3.670199974470970794e+00,6.620734975853687088e-01,4.765255744574098173e+01,8.596124351926365037e+00,5.378540149775603435e-02,5.544320318615881149e+00
3.707470407469255491e+00,6.640566831502425771e-01,4.813646335327518955e+01,8.621873320569235943e+00,5.254065137761123466e-02,5.554999940584115059e+00
3.744554821795614608e+00,6.659841617272526104e-01,4.861795406122584495e+01,8.646899009702059047e+00,5.132068181254616224e-02,5.565468334857373023e+00
3.781449268693897636e+00,6.678570970926175354e-01,4.909697830036220978e+01,8.671216529377012705e+00,5.012507521314388953e-02,5.575729170398390444e+00
3.818149999473512857e+00,6.696766525882483778e-01,4.957348739903288504e+01,8.694840984007379703e+00,4.895341702098693348e-02,5.585785390482220336e+00
3.854653457311134623e+00,6.714439903107904950e-01,5.004743517672207531e+01,8.717787461838359064e+00,4.780529672353014264e-02,5.595640044433735305e+00
3.890956225801712520e+00,6.731602680212653844e-01,5.051877727605442914e+01,8.740070994822971784e+00,4.668030998839872714e-02,5.605296800305815452e+00
3.927054992389781951e+00,6.748266340682453901e-01,5.098747068800027904e+01,8.761706492706379024e+00,4.557805941174654374e-02,5.614758726778331877e+00
3.962946696897711618e+00,6.764442371846761670e-01,5.145347568031305485e+01,8.782708870224306352e+00,4.449814933482035967e-02,5.624028780236058012e+00
3.998627675197476528e+00,6.780140348353584923e-01,5.191674467927131076e+01,8.803090558755627626e+00,4.344019871405754157e-02,5.633110014894032069e+00
4.034095204752196295e+00,6.795371806677001913e-01,5.237724233643464089e+01,8.822866536843678276e+00,4.240382259438459783e-02,5.642005514880723105e+00
