x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
9.668225795030593872e-02,9.472081065177917480e-02,1.255287766456604004e+00,1.229820966720581055e+00
1.002207696437835693e-01,9.561824053525924683e-02,1.301230549812316895e+00,1.241472959518432617e+00
1.038542315363883972e-01,9.654311090707778931e-02,1.348406076431274414e+00,1.253481149673461914e+00
1.075860485434532166e-01,9.749721735715866089e-02,1.396858692169189453e+00,1.265868902206420898e+00
1.114234477281570435e-01,9.848210960626602173e-02,1.446682095527648926e+00,1.278656363487243652e+00
1.153730452060699463e-01,9.949894994497299194e-02,1.497962236404418945e+00,1.291858673095703125e+00
1.194401457905769348e-01,1.005491614341735840e-01,1.550768017768859863e+00,1.305494189262390137e+00
1.236312612891197205e-01,1.016343310475349426e-01,1.605183959007263184e+00,1.319583654403686523e+00
1.279525309801101685e-01,1.027561053633689880e-01,1.661289691925048828e+00,1.334148406982421875e+00
1.324106305837631226e-01,1.039162278175354004e-01,1.719172120094299316e+00,1.349210977554321289e+00
1.370113939046859741e-01,1.051161065697669983e-01,1.778906822204589844e+00,1.364789843559265137e+00
1.417587399482727051e-01,1.063568443059921265e-01,1.840544581413269043e+00,1.380899071693420410e+00
1.466580778360366821e-01,1.076398640871047974e-01,1.904155850410461426e+00,1.397557377815246582e+00
1.517130434513092041e-01,1.089660152792930603e-01,1.969787716865539551e+00,1.414775609970092773e+00
1.569249629974365234e-01,1.103357821702957153e-01,2.037457466125488281e+00,1.432560205459594727e+00
1.622944772243499756e-01,1.117495745420455933e-01,2.107173204421997070e+00,1.450916409492492676e+00
1.678218841552734375e-01,1.132075786590576172e-01,2.178939104080200195e+00,1.469846606254577637e+00
1.735024899244308472e-01,1.147088035941123962e-01,2.252694129943847656e+00,1.489337921142578125e+00
1.793326437473297119e-01,1.162524819374084473e-01,2.328390598297119141e+00,1.509380459785461426e+00
1.853048950433731079e-01,1.178369671106338501e-01,2.405932188034057617e+00,1.529952883720397949e+00
1.914112716913223267e-01,1.194606199860572815e-01,2.485215187072753906e+00,1.551033854484558105e+00
1.976420879364013672e-01,1.211211308836936951e-01,2.566113948822021484e+00,1.572593331336975098e+00
2.039863020181655884e-01,1.228160932660102844e-01,2.648484945297241211e+00,1.594600081443786621e+00
2.104321867227554321e-01,1.245429217815399170e-01,2.732176065444946289e+00,1.617020606994628906e+00
2.169677913188934326e-01,1.262987256050109863e-01,2.817031860351562500e+00,1.639817357063293457e+00
2.235815376043319702e-01,1.280810385942459106e-01,2.902902364730834961e+00,1.662958264350891113e+00
2.302623093128204346e-01,1.298874914646148682e-01,2.989643096923828125e+00,1.686412572860717773e+00
2.369993776082992554e-01,1.317155510187149048e-01,3.077114820480346680e+00,1.710147500038146973e+00
2.437836229801177979e-01,1.335632205009460449e-01,3.165199041366577148e+00,1.734136939048767090e+00
2.506063878536224365e-01,1.354288160800933838e-01,3.253783464431762695e+00,1.758359193801879883e+00
2.574604749679565430e-01,1.373108625411987305e-01,3.342774391174316406e+00,1.782794952392578125e+00
2.643396854400634766e-01,1.392078399658203125e-01,3.432091712951660156e+00,1.807424664497375488e+00
2.712387442588806152e-01,1.411186754703521729e-01,3.521666526794433594e+00,1.832234263420104980e+00
