x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
-2.126048356294631958e-01,1.784114688634872437e-01,-2.760384798049926758e+00,2.316430568695068359e+00
-2.061278522014617920e-01,1.734310686588287354e-01,-2.676290035247802734e+00,2.251766681671142578e+00
-1.997485011816024780e-01,1.685840636491775513e-01,-2.593462944030761719e+00,2.188834905624389648e+00
-1.934786587953567505e-01,1.638813912868499756e-01,-2.512057542800903320e+00,2.127777099609375000e+00
-1.873295158147811890e-01,1.593326479196548462e-01,-2.432219266891479492e+00,2.068717956542968750e+00
-1.813112646341323853e-01,1.549458205699920654e-01,-2.354080438613891602e+00,2.011760950088500977e+00
-1.754324436187744141e-01,1.507269591093063354e-01,-2.277751922607421875e+00,1.956984758377075195e+00
-1.697017997503280640e-01,1.466813832521438599e-01,-2.203347206115722656e+00,1.904458403587341309e+00
-1.641227304935455322e-01,1.428099721670150757e-01,-2.130910634994506836e+00,1.854193449020385742e+00
-1.587003022432327271e-01,1.391141861677169800e-01,-2.060507774353027344e+00,1.806208610534667969e+00
-1.534357219934463501e-01,1.355922669172286987e-01,-1.992154359817504883e+00,1.760481357574462891e+00
-1.483285427093505859e-01,1.322410106658935547e-01,-1.925844550132751465e+00,1.716969847679138184e+00
-1.433773189783096313e-01,1.290562599897384644e-01,-1.861559629440307617e+00,1.675620198249816895e+00
-1.385799944400787354e-01,1.260332912206649780e-01,-1.799272894859313965e+00,1.636371016502380371e+00
-1.339302808046340942e-01,1.231646165251731873e-01,-1.738902688026428223e+00,1.599125146865844727e+00
-1.294260025024414062e-01,1.204453408718109131e-01,-1.680420756340026855e+00,1.563819050788879395e+00
-1.250594705343246460e-01,1.178672313690185547e-01,-1.623727321624755859e+00,1.530345797538757324e+00
-1.208253204822540283e-01,1.154236495494842529e-01,-1.568752646446228027e+00,1.498619198799133301e+00
-1.167176216840744019e-01,1.131077334284782410e-01,-1.515419721603393555e+00,1.468550205230712891e+00
-1.127299219369888306e-01,1.109125539660453796e-01,-1.463644862174987793e+00,1.440048813819885254e+00
-1.088555380702018738e-01,1.088312640786170959e-01,-1.413341283798217773e+00,1.413026094436645508e+00
-1.050884425640106201e-01,1.068576127290725708e-01,-1.364430665969848633e+00,1.387400865554809570e+00
-1.014237180352210999e-01,1.049861237406730652e-01,-1.316849112510681152e+00,1.363102197647094727e+00
-9.785342216491699219e-02,1.032100394368171692e-01,-1.270493745803833008e+00,1.340042114257812500e+00
-9.437388181686401367e-02,1.015249714255332947e-01,-1.225316643714904785e+00,1.318163752555847168e+00
-9.097894281148910522e-02,9.992551803588867188e-02,-1.181237936019897461e+00,1.297397017478942871e+00
-8.766309171915054321e-02,9.840682148933410645e-02,-1.138186097145080566e+00,1.277678847312927246e+00
-8.442185819149017334e-02,9.696473181247711182e-02,-1.096103072166442871e+00,1.258955240249633789e+00
-8.125087618827819824e-02,9.559532999992370605e-02,-1.054932236671447754e+00,1.241175413131713867e+00
-7.814592123031616211e-02,9.429490566253662109e-02,-1.014618635177612305e+00,1.224291205406188965e+00
-7.510294020175933838e-02,9.306004643440246582e-02,-9.751096367835998535e-01,1.208258271217346191e+00
-7.211799174547195435e-02,9.188753366470336914e-02,-9.363541007041931152e-01,1.193034768104553223e+00
-6.918735802173614502e-02,9.077440947294235229e-02,-8.983038067817687988e-01,1.178582310676574707e+00
-6.630747765302658081e-02,8.971792459487915039e-02,-8.609125018119812012e-01,1.164865374565124512e+00
-6.347499787807464600e-02,8.871558308601379395e-02,-8.241366147994995117e-01,1.151851296424865723e+00
-6.068820506334304810e-02,8.776554465293884277e-02,-7.879538536071777344e-01,1.139516353607177734e+00
-5.794310197234153748e-02,8.686534315347671509e-02,-7.523124217987060547e-01,1.127828478813171387e+00
-5.523648485541343689e-02,8.601290732622146606e-02,-7.171707153320312500e-01,1.116760730743408203e+00
-5.256782099604606628e-02,8.520712703466415405e-02,-6.825217008590698242e-01,1.106298804283142090e+00
-4.993252083659172058e-02,8.444571495056152344e-02,-6.483059525489807129e-01,1.096412897109985352e+00
-4.732984304428100586e-02,8.372770994901657104e-02,-6.145136952400207520e-01,1.087090492248535156e+00
-4.475646466016769409e-02,8.305141329765319824e-02,-5.811018943786621094e-01,1.078309774398803711e+00
-4.221142455935478210e-02,8.241593837738037109e-02,-5.480579733848571777e-01,1.070058941841125488e+00
-3.969144448637962341e-02,8.181987702846527100e-02,-5.153394937515258789e-01,1.062319874763488770e+00
-3.719631955027580261e-02,8.126263320446014404e-02,-4.829436540603637695e-01,1.055084824562072754e+00
-3.472269326448440552e-02,8.074295520782470703e-02,-4.508270025253295898e-01,1.048337578773498535e+00
-3.226964548230171204e-02,8.026026934385299683e-02,-4.189774990081787109e-01,1.042070508003234863e+00
-2.983550168573856354e-02,7.981385290622711182e-02,-3.873734474182128906e-01,1.036274433135986328e+00
-2.741813845932483673e-02,7.940300554037094116e-02,-3.559872806072235107e-01,1.030940175056457520e+00
-2.501662820577621460e-02,7.902733981609344482e-02,-3.248069286346435547e-01,1.026062607765197754e+00
-2.262928895652294159e-02,7.868635654449462891e-02,-2.938105762004852295e-01,1.021635413169860840e+00
