# c3x vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_c3x_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.01040 cm / 折れ角 max 3.78° / R_LE 1.179 R_TE 0.188 cm
i,x_cm,y_cm
874,5.43981,7.61598
875,5.44313,7.60654
876,5.44645,7.59710
877,5.44978,7.58766
878,5.45310,7.57822
879,5.45642,7.56878
880,5.45974,7.55934
881,5.46306,7.54990
882,5.46638,7.54046
883,5.46969,7.53101
884,5.47301,7.52157
885,5.47633,7.51213
886,5.47964,7.50269
887,5.48296,7.49324
888,5.48627,7.48380
889,5.48958,7.47436
890,5.49289,7.46491
891,5.49620,7.45547
892,5.49951,7.44603
893,5.50282,7.43658
894,5.50613,7.42714
895,5.50944,7.41769
896,5.51275,7.40825
897,5.51605,7.39880
898,5.51936,7.38936
899,5.52266,7.37991
900,5.52597,7.37046
901,5.52927,7.36102
902,5.53257,7.35157
903,5.53588,7.34213
904,5.53918,7.33268
905,5.54248,7.32323
906,5.54578,7.31378
907,5.54908,7.30434
908,5.55238,7.29489
909,5.55568,7.28544
910,5.55897,7.27599
911,5.56227,7.26654
912,5.56557,7.25709
913,5.56886,7.24764
914,5.57216,7.23819
915,5.57545,7.22875
916,5.57875,7.21930
917,5.58204,7.20985
918,5.58533,7.20040
919,5.58863,7.19095
920,5.59192,7.18150
921,5.59521,7.17204
922,5.59850,7.16259
923,5.60179,7.15314
924,5.60508,7.14369
925,5.60837,7.13424
926,5.61166,7.12479
927,5.61495,7.11534
928,5.61824,7.10589
929,5.62152,7.09643
930,5.62481,7.08698
931,5.62810,7.07753
932,5.63138,7.06808
933,5.63467,7.05863
934,5.63796,7.04917
935,5.64124,7.03972
936,5.64453,7.03027
937,5.64781,7.02081
938,5.65109,7.01136
939,5.65438,7.00191
940,5.65766,6.99245
941,5.66094,6.98300
942,5.66422,6.97355
943,5.66751,6.96409
944,5.67079,6.95464
945,5.67407,6.94518
946,5.67735,6.93573
947,5.68063,6.92627
948,5.68391,6.91682
949,5.68718,6.90736
950,5.69046,6.89791
951,5.69374,6.88845
952,5.69702,6.87900
953,5.70029,6.86954
954,5.70357,6.86009
955,5.70684,6.85063
956,5.71012,6.84117
957,5.71339,6.83172
958,5.71667,6.82226
959,5.71994,6.81280
960,5.72322,6.80335
961,5.72649,6.79389
962,5.72976,6.78443
963,5.73303,6.77497
964,5.73630,6.76552
965,5.73957,6.75606
966,5.74284,6.74660
967,5.74611,6.73714
968,5.74938,6.72768
969,5.75265,6.71823
970,5.75592,6.70877
971,5.75919,6.69931
972,5.76245,6.68985
973,5.76572,6.68039
974,5.76899,6.67093
975,5.77225,6.66147
976,5.77552,6.65201
977,5.77878,6.64255
978,5.78205,6.63309
979,5.78531,6.62363
980,5.78857,6.61417
981,5.79183,6.60471
982,5.79510,6.59525
983,5.79836,6.58579
984,5.80162,6.57633
985,5.80488,6.56687
986,5.80814,6.55740
987,5.81140,6.54794
988,5.81466,6.53848
989,5.81791,6.52902
990,5.82117,6.51956
991,5.82443,6.51009
992,5.82769,6.50063
993,5.83094,6.49117
994,5.83420,6.48171
995,5.83745,6.47224
996,5.84071,6.46278
997,5.84396,6.45331
998,5.84721,6.44385
999,5.85047,6.43439
1000,5.85372,6.42492
1001,5.85697,6.41546
1002,5.86022,6.40599
1003,5.86347,6.39653
1004,5.86672,6.38706
1005,5.86997,6.37760
1006,5.87322,6.36813
1007,5.87647,6.35867
1008,5.87971,6.34920
1009,5.88296,6.33974
1010,5.88621,6.33027
1011,5.88945,6.32080
1012,5.89270,6.31134
1013,5.89594,6.30187
1014,5.89919,6.29240
1015,5.90243,6.28294
1016,5.90567,6.27347
1017,5.90892,6.26400
1018,5.91216,6.25453
1019,5.91540,6.24507
1020,5.91864,6.23560
1021,5.92188,6.22613
1022,5.92512,6.21666
1023,5.92836,6.20719
1024,5.93160,6.19772
1025,5.93484,6.18825
1026,5.93807,6.17879
1027,5.94131,6.16932
1028,5.94454,6.15985
1029,5.94778,6.15038
1030,5.95101,6.14091
1031,5.95425,6.13144
1032,5.95748,6.12196
1033,5.96072,6.11249
1034,5.96395,6.10302
1035,5.96718,6.09355
1036,5.97041,6.08408
1037,5.97364,6.07461
1038,5.97687,6.06514
1039,5.98010,6.05566
1040,5.98333,6.04619
1041,5.98656,6.03672
1042,5.98978,6.02725
1043,5.99301,6.01777
