x_mm,contour_wall
1.022324524819850922e+01,3.857878166264601116e-01
1.064925920218229294e+01,3.820099233430675478e-01
1.107527315616607666e+01,3.783656440452006220e-01
1.150128711014986038e+01,3.748510109827323245e-01
1.192730013281106949e+01,3.714460200821059765e-01
1.235331408679485321e+01,3.681359906678516869e-01
1.277932804077863693e+01,3.649097138458608502e-01
1.320534199476242065e+01,3.617514178093786947e-01
1.363135594874620438e+01,3.586620283667682485e-01
1.405736990272998810e+01,3.556366519595395292e-01
1.448338385671377182e+01,3.526833563462840604e-01
1.490939781069755554e+01,3.497994302310817871e-01
1.533541083335876465e+01,3.469891720099034793e-01
1.576142571866512299e+01,3.442485808680379455e-01
1.618743874132633209e+01,3.415728955053326521e-01
1.661345362663269043e+01,3.389580489779075445e-01
1.703946664929389954e+01,3.363933283604198521e-01
1.746547967195510864e+01,3.338764191319620878e-01
1.789149455726146698e+01,3.314001793423057562e-01
1.831750757992267609e+01,3.289641791518537195e-01
1.874352246522903442e+01,3.265695427564753728e-01
1.916953548789024353e+01,3.242142532165227520e-01
1.959555037319660187e+01,3.218990710174369219e-01
2.002156339585781097e+01,3.196281953614356075e-01
2.044757828116416931e+01,3.174020891527001842e-01
2.087359130382537842e+01,3.152165531890130379e-01
2.129960432648658752e+01,3.130726455370746453e-01
2.172561921179294586e+01,3.109642161841882357e-01
2.215163223445415497e+01,3.088914635178601764e-01
2.257764711976051331e+01,3.068513455963263747e-01
2.300366014242172241e+01,3.048385059569155286e-01
2.342967502772808075e+01,3.028510268537328853e-01
2.385568805038928986e+01,3.008912889368545729e-01
2.428170107305049896e+01,2.989564486520230324e-01
2.470771595835685730e+01,2.970496801993397495e-01
2.513372898101806641e+01,2.951688013162349633e-01
2.555974386632442474e+01,2.933147378110715908e-01
2.598575688898563385e+01,2.914900356568478346e-01
2.641177177429199219e+01,2.896946617889791797e-01
2.683778479695320129e+01,2.879260041052987829e-01
2.726379968225955963e+01,2.861824755057558733e-01
2.768981270492076874e+01,2.844652663153885430e-01
2.811582572758197784e+01,2.827697805569663325e-01
2.854184061288833618e+01,2.810974730722024528e-01
2.896785363554954529e+01,2.794442107880480974e-01
2.939386852085590363e+01,2.778081090231928063e-01
2.981988154351711273e+01,2.761910359266548376e-01
3.024589642882347107e+01,2.745931237567716399e-01
3.067190945148468018e+01,2.730124712999407732e-01
3.109792433679103851e+01,2.714494422665905127e-01
3.152393549680709839e+01,2.699049294004994271e-01
3.194995224475860596e+01,2.683799577037836448e-01
3.237596526741981506e+01,2.668785775880311295e-01
3.280197829008102417e+01,2.653889684643219726e-01
3.322799131274223328e+01,2.639258275404181564e-01
3.365400806069374084e+01,2.624791031826646526e-01
3.408002108335494995e+01,2.610460344982647451e-01
3.450603410601615906e+01,2.596372352188082155e-01
3.493204712867736816e+01,2.582363218427289886e-01
3.535806015133857727e+01,2.568569665756729181e-01
3.578407689929008484e+01,2.554891012516928850e-01
3.621008992195129395e+01,2.541307254634332380e-01
3.663610294461250305e+01,2.527928827820805635e-01
