x_mm,contour_wall,center,center_T,center_g,contour_g
-1.339116366580128670e+00,5.939490487980362277e-01,6.132098304977146030e-01,2.493734741210937500e+02,2.337720503951533213e-23,0.000000000000000000e+00
-8.928785682655870914e-01,5.735506470077873509e-01,5.938749841289995279e-01,2.471061248779296875e+02,9.946489013400000572e-21,0.000000000000000000e+00
-4.464806988835334778e-01,5.559555268114101390e-01,5.754570848146267625e-01,2.448984222412109375e+02,1.212202065025914750e-18,0.000000000000000000e+00
0.000000000000000000e+00,5.433972008845437962e-01,5.586462565600135433e-01,2.428399353027343750e+02,5.395843065109983750e-17,0.000000000000000000e+00
4.259844718035310507e-01,5.354323723442525607e-01,5.447399536566784883e-01,2.411031341552734375e+02,8.605159647691350885e-16,0.000000000000000000e+00
8.519678958691656590e-01,5.284295248222448116e-01,5.332232613318943493e-01,2.396401977539062500e+02,8.692710349548094656e-15,0.000000000000000000e+00
1.277949311770498753e+00,5.210691168846284249e-01,5.238588750634840530e-01,2.384331054687500000e+02,5.925018505339996189e-14,0.000000000000000000e+00
1.703928108327090740e+00,5.136117635855764751e-01,5.159584893981716824e-01,2.374026184082031250e+02,2.996603887337606631e-13,0.000000000000000000e+00
2.129903528839349747e+00,5.062971170327577042e-01,5.087827140997968067e-01,2.364569702148437500e+02,1.214040261550419775e-12,0.000000000000000000e+00
2.555875340476632118e+00,4.992581960491789261e-01,5.018721828974098687e-01,2.355371551513671875e+02,4.170875884251801224e-12,0.000000000000000000e+00
2.981842961162328720e+00,4.924806836697985246e-01,4.950507276853732819e-01,2.346205139160156250e+02,1.266339724054210691e-11,0.000000000000000000e+00
3.407806623727083206e+00,4.859201080286101315e-01,4.883174887844929923e-01,2.337068176269531250e+02,3.497605677305060112e-11,0.000000000000000000e+00
3.833765862509608269e+00,4.795576223125105897e-01,4.817251050131200474e-01,2.328033294677734375e+02,8.960385211587151844e-11,0.000000000000000000e+00
4.259720910340547562e+00,4.733659151747925953e-01,4.753133861308617147e-01,2.319162445068359375e+02,2.156265027641879328e-10,0.000000000000000000e+00
4.685672000050544739e+00,4.673421430611985894e-01,4.690962523277467655e-01,2.310477600097656250e+02,4.914642581788086773e-10,0.000000000000000000e+00
5.111619364470243454e+00,4.615024414889114523e-01,4.630767786101235850e-01,2.301990661621093750e+02,1.067015920064307011e-09,0.000000000000000000e+00
5.537563003599643707e+00,4.558766016484679384e-01,4.572554609467580633e-01,2.293706970214843750e+02,2.216152372724877750e-09,0.000000000000000000e+00
5.963503383100032806e+00,4.504549356166412943e-01,4.516347461168951916e-01,2.285637359619140625e+02,4.418790222615598395e-09,0.000000000000000000e+00
6.389441434293985367e+00,4.452387659768071715e-01,4.462191970331809698e-01,2.277793731689453125e+02,8.484184910173553362e-09,0.000000000000000000e+00
6.815377157181501389e+00,4.402400290439309472e-01,4.410135419311833616e-01,2.270190277099609375e+02,1.572918861825201020e-08,0.000000000000000000e+00
7.241311017423868179e+00,4.354701320996275382e-01,4.360225751756390822e-01,2.262840576171875000e+02,2.822685019054915756e-08,0.000000000000000000e+00
7.667243480682373047e+00,4.309047065452006331e-01,4.312526451667513250e-01,2.255757598876953125e+02,4.914290840929425030e-08,0.000000000000000000e+00
8.093175478279590607e+00,4.265208055590824499e-01,4.267097365942948972e-01,2.248961791992187500e+02,8.317503841226425720e-08,0.000000000000000000e+00
8.519189432263374329e+00,4.222965403864059608e-01,4.223912042915185516e-01,2.242453308105468750e+02,1.371294757745999959e-07,0.000000000000000000e+00
8.945203386247158051e+00,4.182246037540206518e-01,4.182866990435076815e-01,2.236224060058593750e+02,2.205828621981709148e-07,0.000000000000000000e+00
9.371217340230941772e+00,4.142997383930083211e-01,4.143756546787709660e-01,2.230249328613281250e+02,3.467385454314353410e-07,0.000000000000000000e+00
9.797231294214725494e+00,4.105154305802437564e-01,4.106323800152361647e-01,2.224492645263671875e+02,5.334101729204121511e-07,0.000000000000000000e+00
1.022324524819850922e+01,4.068689028906382066e-01,4.070309524187404882e-01,2.218921813964843750e+02,8.041543537729012314e-07,0.000000000000000000e+00
1.064925920218229294e+01,4.033605851637886985e-01,4.035482928093787058e-01,2.213503875732421875e+02,1.189589966088533401e-06,0.000000000000000000e+00
1.107527315616607666e+01,3.999848564203487555e-01,4.001697205116810374e-01,2.208218231201171875e+02,1.728879283291462343e-06,0.000000000000000000e+00
1.150128711014986038e+01,3.967252174327069447e-01,3.968897137400541619e-01,2.203061676025390625e+02,2.471447714924579486e-06,0.000000000000000000e+00
1.192730013281106949e+01,3.935636149377856885e-01,3.937076773319790335e-01,2.198036956787109375e+02,3.478876351437065750e-06,0.000000000000000000e+00
1.235331408679485321e+01,3.904879142331132424e-01,3.906245701604029175e-01,2.193147735595703125e+02,4.827036264032358304e-06,0.000000000000000000e+00
1.277932804077863693e+01,3.874971233811579374e-01,3.876361599585237960e-01,2.188393096923828125e+02,6.608409421460237354e-06,0.000000000000000000e+00
1.320534199476242065e+01,3.845889278610123418e-01,3.847343459031657420e-01,2.183765106201171875e+02,8.934499419410713017e-06,0.000000000000000000e+00
1.363135594874620438e+01,3.817664026790248966e-01,3.819104320086338378e-01,2.179252319335937500e+02,1.193851130665279925e-05,0.000000000000000000e+00
1.405736990272998810e+01,3.790237284683426466e-01,3.791608472998138080e-01,2.174857788085937500e+02,1.577799412189051509e-05,0.000000000000000000e+00
1.448338385671377182e+01,3.763553834433722711e-01,3.764860546808870834e-01,2.170585327148437500e+02,2.063784086203668267e-05,0.000000000000000000e+00
1.490939781069755554e+01,3.737588216311156231e-01,3.738887323831894260e-01,2.166446990966796875e+02,2.673311246326193213e-05,0.000000000000000000e+00
1.533541083335876465e+01,3.712351341628576384e-01,3.713684175025393497e-01,2.162449798583984375e+02,3.431203731452114880e-05,0.000000000000000000e+00
1.576142571866512299e+01,3.687877597553749776e-01,3.689229277763670378e-01,2.158598480224609375e+02,4.365869608591310680e-05,0.000000000000000000e+00
1.618743874132633209e+01,3.664144830815134757e-01,3.665488906170645267e-01,2.154895629882812500e+02,5.509511902346275747e-05,0.000000000000000000e+00
1.661345362663269043e+01,3.641220162519045456e-01,3.642461076371254491e-01,2.151352081298828125e+02,6.898387073306366801e-05,0.000000000000000000e+00
1.703946664929389954e+01,3.619049036101235628e-01,3.620178191658202094e-01,2.147983093261718750e+02,8.572886872570961714e-05,0.000000000000000000e+00
1.746547967195510864e+01,3.597620209603013541e-01,3.598701752158456335e-01,2.144812622070312500e+02,1.057773042703047395e-04,0.000000000000000000e+00
1.789149455726146698e+01,3.576962449212798267e-01,3.578077717644320144e-01,2.141862487792968750e+02,1.296192203881219029e-04,0.000000000000000000e+00
