x_mm,contour_wall,center,center_T,center_g,contour_g
4.259844718035310507e-01,5.354324715380057720e-01,5.447402512379380113e-01,2.411032562255859375e+02,8.621955993398048440e-15,0.000000000000000000e+00
8.519678958691656590e-01,5.284297562743355270e-01,5.332233935902319644e-01,2.396402587890625000e+02,7.556701439722854352e-14,0.000000000000000000e+00
1.277949311770498753e+00,5.210692491429659290e-01,5.238590403864059608e-01,2.384331512451171875e+02,4.354016333672078298e-13,0.000000000000000000e+00
1.703928108327090740e+00,5.136117635855764751e-01,5.159585224627560862e-01,2.374026794433593750e+02,1.870737722717286111e-12,0.000000000000000000e+00
2.129903528839349747e+00,5.062970509035890077e-01,5.087825818414593027e-01,2.364569396972656250e+02,6.567830480863623421e-12,0.000000000000000000e+00
2.555875340476632118e+00,4.992580637908413665e-01,5.018719845099035570e-01,2.355371704101562500e+02,2.001862217659855503e-11,0.000000000000000000e+00
2.981842961162328720e+00,4.924807167343829284e-01,4.950504631686981627e-01,2.346204986572265625e+02,5.507144393290808182e-11,0.000000000000000000e+00
3.407806623727083206e+00,4.859201080286101315e-01,4.883174226553241848e-01,2.337068023681640625e+02,1.400864979572702396e-10,0.000000000000000000e+00
3.833765862509608269e+00,4.795575231187574339e-01,4.817252703360420107e-01,2.328034210205078125e+02,3.343464671790030707e-10,0.000000000000000000e+00
4.259720910340547562e+00,4.733658821102082470e-01,4.753135183891992743e-01,2.319163055419921875e+02,7.554429304335030793e-10,0.000000000000000000e+00
4.685672000050544739e+00,4.673420438674453781e-01,4.690964837798374809e-01,2.310477905273437500e+02,1.625375722902333564e-09,0.000000000000000000e+00
5.111619364470243454e+00,4.615022761659894890e-01,4.630769439330455484e-01,2.301990509033203125e+02,3.344520660419902924e-09,0.000000000000000000e+00
5.537563003599643707e+00,4.558765685838835346e-01,4.572555270759268709e-01,2.293708190917968750e+02,6.605231472889272482e-09,0.000000000000000000e+00
5.963503383100032806e+00,4.504550678749788539e-01,4.516346138585576320e-01,2.285637969970703125e+02,1.255928427923436175e-08,0.000000000000000000e+00
6.389441434293985367e+00,4.452394272684950249e-01,4.462192300977653736e-01,2.277794952392578125e+02,2.305552371240082721e-08,0.000000000000000000e+00
6.815377157181501389e+00,4.402406242064499930e-01,4.410138395124428845e-01,2.270192260742187500e+02,4.096563444022649492e-08,0.000000000000000000e+00
7.241311017423868179e+00,4.354710579079905108e-01,4.360232034027425319e-01,2.262842254638671875e+02,7.061552054210551432e-08,0.000000000000000000e+00
7.667243480682373047e+00,4.309061283223294403e-01,4.312536371042830496e-01,2.255760803222656250e+02,1.183400257787070586e-07,0.000000000000000000e+00
8.093175478279590607e+00,4.265230208862366701e-01,4.267115220818520349e-01,2.248967132568359375e+02,1.931866506765800295e-07,0.000000000000000000e+00
8.519189432263374329e+00,4.222997807156763095e-01,4.223939155874386064e-01,2.242462005615234375e+02,3.077482801927544642e-07,0.000000000000000000e+00
8.945203386247158051e+00,4.182290674729134961e-01,4.182908321165566545e-01,2.236236877441406250e+02,4.791446031049417797e-07,0.000000000000000000e+00
9.371217340230941772e+00,4.143060867932114588e-01,4.143816724331301771e-01,2.230266265869140625e+02,7.301950972760096192e-07,0.000000000000000000e+00
9.797231294214725494e+00,4.105245564055358121e-01,4.106412743884374494e-01,2.224518280029296875e+02,1.090744603970961180e-06,0.000000000000000000e+00
1.022324524819850922e+01,4.068818311431352530e-01,4.070432524441340849e-01,2.218958740234375000e+02,1.599148731656896416e-06,0.000000000000000000e+00
1.064925920218229294e+01,4.033778779414254334e-01,4.035650234890807431e-01,2.213553619384765625e+02,2.303982455487130210e-06,0.000000000000000000e+00
1.107527315616607666e+01,4.000083322752666093e-01,4.001925681394954970e-01,2.208289031982421875e+02,3.265907480454188772e-06,0.000000000000000000e+00
