x_mm,contour_wall
-2.963636256754398346e+01,9.860266421195191811e-01
-2.920745871961116791e+01,9.853697810859997075e-01
-2.877855673432350159e+01,9.852734308870830793e-01
-2.834964916110038757e+01,9.842592078254612797e-01
-2.792074531316757202e+01,9.841477140468934959e-01
-2.749184332787990570e+01,9.835303321271372523e-01
-2.706293761730194092e+01,9.827894870492636104e-01
-2.663403190672397614e+01,9.825958608430674923e-01
-2.620512805879116058e+01,9.814459407271034497e-01
-2.577622607350349426e+01,9.812515209708819741e-01
-2.534732222557067871e+01,9.804624015997968067e-01
-2.491841465234756470e+01,9.796360515066869779e-01
-2.448951080441474915e+01,9.791072826730997658e-01
-2.406060695648193359e+01,9.781368371212121327e-01
-2.363169938325881958e+01,9.775014680675470080e-01
-2.320279739797115326e+01,9.764596691425427855e-01
-2.277389355003833771e+01,9.757196176146943900e-01
-2.234498597681522369e+01,9.745799475198916317e-01
-2.191608399152755737e+01,9.737190780006771407e-01
-2.148718014359474182e+01,9.724565399102759189e-01
-2.106072381138801575e+01,9.714580555908244319e-01
-2.063669823110103607e+01,9.700518188166582512e-01
-2.021262235939502716e+01,9.688904583544947213e-01
-1.978846266865730286e+01,9.673056066954460741e-01
-1.936418749392032623e+01,9.659549845522261702e-01
-1.893976703286170959e+01,9.641699598992720111e-01
-1.851516403257846832e+01,9.626056082825461546e-01
-1.809035055339336395e+01,9.605871476637887207e-01
-1.766529120504856110e+01,9.587664132596919186e-01
-1.723995432257652283e+01,9.566908831682748859e-01
-1.681431010365486145e+01,9.542517087777213636e-01
-1.638832874596118927e+01,9.520420026028441063e-01
-1.596197858452796936e+01,9.490230737895717361e-01
-1.553523074835538864e+01,9.467885030472320551e-01
-1.510805543512105942e+01,9.432965522896563648e-01
-1.468042563647031784e+01,9.403497042703572451e-01
-1.425231434404850006e+01,9.366931580116810707e-01
-1.382369361817836761e+01,9.331602732986287174e-01
-1.339454017579555511e+01,9.291630295623836133e-01
-1.296482980251312256e+01,9.248585497079735429e-01
-1.253453828394412994e+01,9.200444784789233443e-01
-1.210364326834678650e+01,9.154383834856949509e-01
-1.167212612926959991e+01,9.096105520992043836e-01
-1.123996637761592865e+01,9.041008020145590018e-01
-1.080714911222457886e+01,8.978692520526494469e-01
-1.037365943193435669e+01,8.909908926908752802e-01
-9.939480572938919067e+00,8.841125994582698100e-01
-9.504605084657669067e+00,8.759062341289994835e-01
-9.069021791219711304e+00,8.677764463771796555e-01
-8.632725104689598083e+00,8.587708439140003813e-01
-8.195712231099605560e+00,8.489445123370576995e-01
-7.757980376482009888e+00,8.386792153377349290e-01
-7.319533266127109528e+00,8.275086761469443442e-01
-6.880374159663915634e+00,8.154090882639241089e-01
-6.440512835979461670e+00,8.027495185796512667e-01
-5.999961867928504944e+00,7.890044385898087320e-01
-5.558736622333526611e+00,7.744685859996613964e-01
-5.116856656968593597e+00,7.589808701540544655e-01
-4.674346186220645905e+00,7.425803733917386573e-01
-4.231235012412071228e+00,7.252452069578466665e-01
-3.787554800510406494e+00,7.069932257279498700e-01
-3.343343036249279976e+00,6.878562378322329307e-01
-2.898643258959054947e+00,6.678921724225495016e-01
-2.453503198921680450e+00,6.472031329355002471e-01
-2.007975475862622261e+00,6.260053617530049186e-01
-1.562119228765368462e+00,6.046628338200440433e-01
-1.115997438319027424e+00,5.838216972447942688e-01
-6.696796044707298279e-01,5.645176009395632688e-01
-2.232403494417667389e-01,5.481425639072287082e-01
2.129922359017655253e-01,5.382796959645336221e-01
6.389762274920940399e-01,5.319210457402234749e-01
1.064958632923662663e+00,5.246939872714575515e-01
1.490938826464116573e+00,5.171655781805485352e-01
1.916915876790881157e+00,5.097228394277975028e-01
2.342889318242669106e+00,5.025484859065515453e-01
2.768859034404158592e+00,4.956577934547993780e-01
3.194824792444705963e+00,4.890231200799898259e-01
3.620785893872380257e+00,4.825803866175723544e-01
