x_mm,contour_wall,contour_g
3.045890480279922485e+01,3.256481981124090264e-01,6.614831741899251938e-03
3.088491596281528473e+01,3.254625404710512759e-01,6.844203453510999680e-03
3.131093084812164307e+01,3.252077447837311563e-01,7.064756471663713455e-03
3.173694387078285217e+01,3.248714448958862633e-01,7.275835610926151276e-03
3.216295689344406128e+01,3.244509956407651829e-01,7.477714214473962784e-03
3.258896991610527039e+01,3.239497034768071826e-01,7.669925224035978317e-03
3.301498666405677795e+01,3.233624103288471052e-01,7.852457463741302490e-03
3.344099968671798706e+01,3.226942742720501078e-01,8.025518618524074554e-03
3.386701270937919617e+01,3.219450969189097678e-01,8.189101703464984894e-03
3.429302945733070374e+01,3.211138202027255528e-01,8.343349210917949677e-03
3.471904247999191284e+01,3.202175715782122900e-01,8.488752879202365875e-03
3.514505177736282349e+01,3.192502340972575015e-01,8.625366725027561188e-03
3.557106852531433105e+01,3.182200739059590222e-01,8.753466419875621796e-03
3.599708154797554016e+01,3.171393910297105045e-01,8.873435668647289276e-03
3.642309457063674927e+01,3.160068628851362971e-01,8.985575288534164429e-03
3.684911131858825684e+01,3.148322104600473903e-01,9.090508334338665009e-03
3.727512434124946594e+01,3.136179797274420422e-01,9.188131429255008698e-03
3.770113736391067505e+01,3.123620214893346736e-01,9.279171004891395569e-03
3.812715411186218262e+01,3.110760406085999463e-01,9.363633580505847931e-03
3.855316340923309326e+01,3.097529612641781172e-01,9.442154318094253540e-03
3.897918015718460083e+01,3.084030334772304149e-01,9.514962323009967804e-03
3.940519690513610840e+01,3.070244386956153537e-01,9.582375176250934601e-03
3.983120620250701904e+01,3.056242196758083840e-01,9.644851088523864746e-03
4.025722295045852661e+01,3.042089232055188996e-01,9.702876210212707520e-03
4.068323224782943726e+01,3.027866831725071761e-01,9.756950661540031433e-03
4.110924899578094482e+01,3.013565737684103518e-01,9.807437658309936523e-03
4.153526574373245239e+01,2.999185949932283712e-01,9.854639880359172821e-03
4.196128249168395996e+01,2.984743339470120049e-01,9.898530319333076477e-03
4.238728806376457214e+01,2.970265019256814187e-01,9.939723648130893707e-03
4.281330481171607971e+01,2.955754626396648321e-01,9.978003799915313721e-03
4.323931410908699036e+01,2.941263080349585390e-01,1.001405157148838043e-02
4.366533085703849792e+01,2.926720945488403558e-01,1.004747673869132996e-02
4.409134760499000549e+01,2.912180463856441359e-01,1.007865928113460541e-02
4.451735690236091614e+01,2.897611877327746499e-01,1.010764576494693756e-02
4.494337365031242371e+01,2.883077347320975314e-01,1.013468299061059952e-02
4.536939039826393127e+01,2.868557365731335684e-01,1.015989109873771667e-02
4.579539969563484192e+01,2.854084666497376244e-01,1.018342468887567520e-02
4.622141271829605103e+01,2.839741911080074233e-01,1.020557433366775513e-02
4.664742946624755859e+01,2.825552905980193152e-01,1.022672001272439957e-02
4.707343876361846924e+01,2.811488554363467118e-01,1.024681795388460159e-02
4.749945551156997681e+01,2.797493969019806959e-01,1.026591565459966660e-02
4.792547225952148438e+01,2.783563528969866252e-01,1.028378494083881378e-02
4.835148155689239502e+01,2.769721206037328853e-01,1.030082348734140396e-02
4.877749830484390259e+01,2.755946500179871084e-01,1.031658425927162170e-02
4.920351505279541016e+01,2.742265697742085617e-01,1.033172383904457092e-02
4.962952435016632080e+01,2.728612008263500699e-01,1.034573744982481003e-02
5.005554109811782837e+01,2.715037177818689917e-01,1.035890541970729828e-02
5.048155039548873901e+01,2.701548811262061700e-01,1.037126034498214722e-02
5.090756714344024658e+01,2.688141948905958811e-01,1.038295216858386993e-02
5.133358389139175415e+01,2.674843538386659780e-01,1.039406564086675644e-02
5.175959318876266479e+01,2.661642503068393228e-01,1.040462311357259750e-02
5.218560621142387390e+01,2.648548101034789437e-01,1.041483599692583084e-02
5.261162668466567993e+01,2.635607614641526930e-01,1.042478717863559723e-02
5.303763598203659058e+01,2.622825342284577643e-01,1.043470576405525208e-02
5.346364900469779968e+01,2.610215336412307630e-01,1.044455170631408691e-02
5.388966202735900879e+01,2.597725685627221837e-01,1.045433338731527328e-02
5.431567505002021790e+01,2.585342337480954766e-01,1.046393532305955887e-02
5.474169179797172546e+01,2.573041650795666047e-01,1.047333050519227982e-02
5.516770482063293457e+01,2.560848093363805589e-01,1.048259530216455460e-02
5.559371784329414368e+01,2.548740173205518711e-01,1.049173716455698013e-02
5.601973459124565125e+01,2.536713261278991105e-01,1.050054654479026794e-02
5.644574761390686035e+01,2.524766035000846620e-01,1.050931029021739960e-02
5.687175691127777100e+01,2.512894526620957913e-01,1.051772572100162506e-02
5.729777738451957703e+01,2.501081211909598756e-01,1.052598748356103897e-02
5.772379040718078613e+01,2.489353699794735197e-01,1.053413841873407364e-02
5.814979970455169678e+01,2.477686199900541730e-01,1.054199412465095520e-02
5.857582017779350281e+01,2.466124671999322948e-01,1.054991036653518677e-02
5.900183320045471191e+01,2.454649112017521506e-01,1.055771019309759140e-02
5.942784249782562256e+01,2.443275886924411722e-01,1.056554261595010757e-02
5.985385924577713013e+01,2.432041698408667629e-01,1.057351101189851761e-02
6.027987599372863770e+01,2.420926046427966938e-01,1.058166474103927612e-02
6.070588529109954834e+01,2.409944471336973038e-01,1.058996934443712234e-02
6.113190203905105591e+01,2.399043243186050334e-01,1.059832051396369934e-02
6.155791878700256348e+01,2.388253938653292774e-01,1.060671359300613403e-02
6.198392435908317566e+01,2.377584162593109895e-01,1.061531156301498413e-02
6.240994483232498169e+01,2.367043007766209683e-01,1.062405761331319809e-02
6.283595412969589233e+01,2.356576578900033969e-01,1.063277758657932281e-02
6.326197087764739990e+01,2.346184545348738715e-01,1.064139790832996368e-02
6.368798762559890747e+01,2.335834338496698970e-01,1.064982824027538300e-02
