x_mm,contour_wall,center,center_T,side_wall_mid
2.981842994689941406e+00,4.967421591281890869e-01,4.993854165077209473e-01,2.352032470703125000e+02,4.987748265266418457e-01
3.407806634902954102e+00,4.899548590183258057e-01,4.923907518386840820e-01,2.342598114013671875e+02,4.918664991855621338e-01
3.833765745162963867e+00,4.833470880985260010e-01,4.855485558509826660e-01,2.333276062011718750e+02,4.851725697517395020e-01
4.259720802307128906e+00,4.769248664379119873e-01,4.789007008075714111e-01,2.324128265380859375e+02,4.786864817142486572e-01
4.685671806335449219e+00,4.707087576389312744e-01,4.724702537059783936e-01,2.315193176269531250e+02,4.724061191082000732e-01
5.111619472503662109e+00,4.647050201892852783e-01,4.662684500217437744e-01,2.306492614746093750e+02,4.663318097591400146e-01
5.537562847137451172e+00,4.589279890060424805e-01,4.602990746498107910e-01,2.298039855957031250e+02,4.604628384113311768e-01
5.963503360748291016e+00,4.533858895301818848e-01,4.545627832412719727e-01,2.289843139648437500e+02,4.548040926456451416e-01
6.389441490173339844e+00,4.480811655521392822e-01,4.490592181682586670e-01,2.281908416748046875e+02,4.493602812290191650e-01
6.815377235412597656e+00,4.430182576179504395e-01,4.437883198261260986e-01,2.274243469238281250e+02,4.441330134868621826e-01
7.241311073303222656e+00,4.381834864616394043e-01,4.387520551681518555e-01,2.266859283447265625e+02,4.391224980354309082e-01
7.667243480682373047e+00,4.335651099681854248e-01,4.339519739151000977e-01,2.259764404296875000e+02,4.343268573284149170e-01
8.093175888061523438e+00,4.291440248489379883e-01,4.293867647647857666e-01,2.252964477539062500e+02,4.297412931919097900e-01
8.519189834594726562e+00,4.248957931995391846e-01,4.250483810901641846e-01,2.246454162597656250e+02,4.253592491149902344e-01
8.945203781127929688e+00,4.208018779754638672e-01,4.209240376949310303e-01,2.240221252441406250e+02,4.211718738079071045e-01
9.371217727661132812e+00,4.168604314327239990e-01,4.169923663139343262e-01,2.234238128662109375e+02,4.171635508537292480e-01
9.797231674194335938e+00,4.130605161190032959e-01,4.132269918918609619e-01,2.228470611572265625e+02,4.133153855800628662e-01
1.022324562072753906e+01,4.093961715698242188e-01,4.096013307571411133e-01,2.222881469726562500e+02,4.096111059188842773e-01
1.064925956726074219e+01,4.058573842048645020e-01,4.060918092727661133e-01,2.217437133789062500e+02,4.060345888137817383e-01
1.107527351379394531e+01,4.024347662925720215e-01,4.026822447776794434e-01,2.212115936279296875e+02,4.025743901729583740e-01
1.150128746032714844e+01,3.991155624389648438e-01,3.993611633777618408e-01,2.206901702880859375e+02,3.992204368114471436e-01
1.192730045318603516e+01,3.958869278430938721e-01,3.961216509342193604e-01,2.201785583496093750e+02,3.959648609161376953e-01
1.235331439971923828e+01,3.927413523197174072e-01,3.929594159126281738e-01,2.196762390136718750e+02,3.928000926971435547e-01
1.277932834625244141e+01,3.896697759628295898e-01,3.898711800575256348e-01,2.191829071044921875e+02,3.897189497947692871e-01
1.320534229278564453e+01,3.866661190986633301e-01,3.868545889854431152e-01,2.186983032226562500e+02,3.867156803607940674e-01
1.363135623931884766e+01,3.837277293205261230e-01,3.839067816734313965e-01,2.182220916748046875e+02,3.837862610816955566e-01
1.405737018585205078e+01,3.808529078960418701e-01,3.810256123542785645e-01,2.177541809082031250e+02,3.809245228767395020e-01
1.448338413238525391e+01,3.780398964881896973e-01,3.782082796096801758e-01,2.172941284179687500e+02,3.781270682811737061e-01
1.490939807891845703e+01,3.752879202365875244e-01,3.754522800445556641e-01,2.168417053222656250e+02,3.753898441791534424e-01
1.533541107177734375e+01,3.725948929786682129e-01,3.727550208568572998e-01,2.163966522216796875e+02,3.727096915245056152e-01
1.576142597198486328e+01,3.699582517147064209e-01,3.701140582561492920e-01,2.159586791992187500e+02,3.700826764106750488e-01
1.618743896484375000e+01,3.673750460147857666e-01,3.675270378589630127e-01,2.155274353027343750e+02,3.675059080123901367e-01
1.661345291137695312e+01,3.648439049720764160e-01,3.649912178516387939e-01,2.151026153564453125e+02,3.649771213531494141e-01
1.703946685791015625e+01,3.623612523078918457e-01,3.625046908855438232e-01,2.146840209960937500e+02,3.624936938285827637e-01
1.746547889709472656e+01,3.599245846271514893e-01,3.600658476352691650e-01,2.142714385986328125e+02,3.600544631481170654e-01
1.789149475097656250e+01,3.575322031974792480e-01,3.576725721359252930e-01,2.138646392822265625e+02,3.576578497886657715e-01
1.831750679016113281e+01,3.551827073097229004e-01,3.553230762481689453e-01,2.134633331298828125e+02,3.553028702735900879e-01
1.874352264404296875e+01,3.528741300106048584e-01,3.530148565769195557e-01,2.130672760009765625e+02,3.529884815216064453e-01
1.916953468322753906e+01,3.506049513816833496e-01,3.507454395294189453e-01,2.126760559082031250e+02,3.507136702537536621e-01
1.959555053710937500e+01,3.483739495277404785e-01,3.485134840011596680e-01,2.122895202636718750e+02,3.484772443771362305e-01
2.002156257629394531e+01,3.461798727512359619e-01,3.463171422481536865e-01,2.119074096679687500e+02,3.462783098220825195e-01
2.044757843017578125e+01,3.440213203430175781e-01,3.441553413867950439e-01,2.115296020507812500e+02,3.441150784492492676e-01
2.087359046936035156e+01,3.418966829776763916e-01,3.420270681381225586e-01,2.111560363769531250e+02,3.419863581657409668e-01
2.129960441589355469e+01,3.398041129112243652e-01,3.399311304092407227e-01,2.107864379882812500e+02,3.398910462856292725e-01
