x_mm,contour_wall,center,center_T,center_g,contour_g,side_wall_mid
-3.113752937316894531e+01,9.872367978096008301e-01,9.848147034645080566e-01,2.854031677246093750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.848325848579406738e-01
-3.070862388610839844e+01,9.868015050888061523e-01,9.844388365745544434e-01,2.853720703125000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.844568967819213867e-01
-3.027972030639648438e+01,9.863564372062683105e-01,9.840415120124816895e-01,2.853393249511718750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.840612411499023438e-01
-2.985081672668457031e+01,9.859030842781066895e-01,9.836245775222778320e-01,2.853048400878906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.836447238922119141e-01
-2.942191123962402344e+01,9.854366779327392578e-01,9.831842184066772461e-01,2.852685241699218750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.832066893577575684e-01
-2.899300765991210938e+01,9.849587678909301758e-01,9.827231168746948242e-01,2.852303161621093750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.827458858489990234e-01
-2.856410217285156250e+01,9.844639897346496582e-01,9.822361469268798828e-01,2.851900939941406250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.822611212730407715e-01
-2.813519668579101562e+01,9.839528203010559082e-01,9.817249774932861328e-01,2.851478271484375000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.817515015602111816e-01
-2.770629310607910156e+01,9.834223389625549316e-01,9.811876416206359863e-01,2.851033325195312500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.812152385711669922e-01
-2.727738952636718750e+01,9.828717112541198730e-01,9.806219935417175293e-01,2.850565490722656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.806507825851440430e-01
-2.684848594665527344e+01,9.822985529899597168e-01,9.800276756286621094e-01,2.850072326660156250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.800572991371154785e-01
-2.641958045959472656e+01,9.816997647285461426e-01,9.794005751609802246e-01,2.849553222656250000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.794327616691589355e-01
-2.599067687988281250e+01,9.810750484466552734e-01,9.787425398826599121e-01,2.849006958007812500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.787752628326416016e-01
-2.556177139282226562e+01,9.804196953773498535e-01,9.780475497245788574e-01,2.848430786132812500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.780830740928649902e-01
-2.513286590576171875e+01,9.797332882881164551e-01,9.773159623146057129e-01,2.847823791503906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.773537516593933105e-01
-2.470396232604980469e+01,9.790129661560058594e-01,9.765452146530151367e-01,2.847183532714843750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.765847325325012207e-01
-2.427505874633789062e+01,9.782552719116210938e-01,9.757320284843444824e-01,2.846507873535156250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.757736921310424805e-01
-2.384615325927734375e+01,9.774571061134338379e-01,9.748738408088684082e-01,2.845794677734375000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.749178290367126465e-01
-2.341724967956542969e+01,9.766162633895874023e-01,9.739691019058227539e-01,2.845041503906250000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.740144014358520508e-01
-2.298834609985351562e+01,9.757254123687744141e-01,9.730108976364135742e-01,2.844244689941406250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.730598330497741699e-01
-2.255944061279296875e+01,9.747835993766784668e-01,9.719998240470886230e-01,2.843402099609375000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.720503687858581543e-01
-2.213053512573242188e+01,9.737835526466369629e-01,9.709288477897644043e-01,2.842509460449218750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.709827899932861328e-01
-2.170163154602050781e+01,9.727195501327514648e-01,9.697956442832946777e-01,2.841563415527343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.698520302772521973e-01
-2.127272796630859375e+01,9.715834259986877441e-01,9.685943126678466797e-01,2.840560607910156250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.686537981033325195e-01
-2.084871673583984375e+01,9.703829884529113770e-01,9.673370718955993652e-01,2.839509277343750000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.673995971679687500e-01
-2.042467498779296875e+01,9.690964221954345703e-01,9.660022854804992676e-01,2.838393249511718750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.660690426826477051e-01
-2.000056838989257812e+01,9.677234292030334473e-01,9.645879864692687988e-01,2.837207946777343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.646576046943664551e-01
-1.957635879516601562e+01,9.662536382675170898e-01,9.630842804908752441e-01,2.835947265625000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.631586074829101562e-01
-1.915201950073242188e+01,9.646840691566467285e-01,9.614868760108947754e-01,2.834606323242187500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.615653753280639648e-01
-1.872751617431640625e+01,9.630077481269836426e-01,9.597886204719543457e-01,2.833178710937500000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.598718285560607910e-01
-1.830281448364257812e+01,9.612154960632324219e-01,9.579806923866271973e-01,2.831657409667968750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.580683708190917969e-01
-1.787788581848144531e+01,9.592992663383483887e-01,9.560551047325134277e-01,2.830034484863281250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.561478495597839355e-01
-1.745269584655761719e+01,9.572494029998779297e-01,9.540022611618041992e-01,2.828302307128906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.541013240814208984e-01
-1.702721405029296875e+01,9.550564885139465332e-01,9.518131017684936523e-01,2.826452026367187500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.519173502922058105e-01
-1.660140800476074219e+01,9.527081251144409180e-01,9.494767189025878906e-01,2.824473571777343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.495860934257507324e-01
-1.617524909973144531e+01,9.501919746398925781e-01,9.469805359840393066e-01,2.822355957031250000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.470969438552856445e-01
-1.574870777130126953e+01,9.474964141845703125e-01,9.443123340606689453e-01,2.820087890625000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.444361329078674316e-01
-1.532175254821777344e+01,9.446033835411071777e-01,9.414591789245605469e-01,2.817656860351562500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.415892958641052246e-01
-1.489435768127441406e+01,9.414985775947570801e-01,9.384056329727172852e-01,2.815050659179687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.385426044464111328e-01
-1.446649360656738281e+01,9.381644725799560547e-01,9.351358413696289062e-01,2.812252502441406250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.352816939353942871e-01
-1.403813457489013672e+01,9.345816969871520996e-01,9.316321015357971191e-01,2.809246215820312500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.317862391471862793e-01
-1.360925388336181641e+01,9.307308793067932129e-01,9.278761744499206543e-01,2.806015014648437500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.280388951301574707e-01
-1.317982769012451172e+01,9.265903830528259277e-01,9.238483309745788574e-01,2.802539367675781250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.240192174911499023e-01
-1.274983215332031250e+01,9.221352338790893555e-01,9.195262193679809570e-01,2.798797912597656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.197081327438354492e-01
-1.231924343109130859e+01,9.173415303230285645e-01,9.148871302604675293e-01,2.794767456054687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.150795936584472656e-01
-1.188804340362548828e+01,9.121803045272827148e-01,9.099060297012329102e-01,2.790424194335937500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.101086258888244629e-01
-1.145620918273925781e+01,9.066232442855834961e-01,9.045567512512207031e-01,2.785740966796875000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.047693014144897461e-01
-1.102372550964355469e+01,9.006382226943969727e-01,8.988107442855834961e-01,2.780688171386718750e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.990355134010314941e-01
-1.059057426452636719e+01,8.941931724548339844e-01,8.926388025283813477e-01,2.775234985351562500e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.928770422935485840e-01
-1.015674304962158203e+01,8.872529268264770508e-01,8.860088586807250977e-01,2.769347229003906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.862602710723876953e-01
-9.722218513488769531e+00,8.797804117202758789e-01,8.788891434669494629e-01,2.762989196777343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.791533708572387695e-01
-9.286991119384765625e+00,8.717378377914428711e-01,8.712447285652160645e-01,2.756122131347656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.715226054191589355e-01
-8.851052284240722656e+00,8.630849719047546387e-01,8.630409240722656250e-01,2.748704528808593750e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.633337020874023438e-01
-8.414398193359375000e+00,8.537888526916503906e-01,8.542423248291015625e-01,2.740693054199218750e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.545521497726440430e-01
-7.977025508880615234e+00,8.437940478324890137e-01,8.448126316070556641e-01,2.732041931152343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.451413512229919434e-01
-7.538935184478759766e+00,8.330650329589843750e-01,8.347169756889343262e-01,2.722702636718750000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.350644707679748535e-01
-7.100130081176757812e+00,8.215698003768920898e-01,8.239204883575439453e-01,2.712625732421875000e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.242888450622558594e-01
-6.660617351531982422e+00,8.092659711837768555e-01,8.123919963836669922e-01,2.701761169433593750e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.127827644348144531e-01
-6.220407962799072266e+00,7.961190342903137207e-01,8.001015782356262207e-01,2.690056762695312500e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.005174398422241211e-01
-5.779515743255615234e+00,7.820999622344970703e-01,7.870252728462219238e-01,2.677462463378906250e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.874692678451538086e-01
-5.337957382202148438e+00,7.671855688095092773e-01,7.731441259384155273e-01,2.663928527832031250e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.736222743988037109e-01
-4.895755767822265625e+00,7.513603568077087402e-01,7.584477663040161133e-01,2.649409179687500000e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.589666247367858887e-01
-4.452937126159667969e+00,7.346198558807373047e-01,7.429349422454833984e-01,2.633863830566406250e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.435040473937988281e-01
-4.009532928466796875e+00,7.169719934463500977e-01,7.266179323196411133e-01,2.617260742187500000e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.272509336471557617e-01
-3.565576553344726562e+00,6.984466314315795898e-01,7.095245718955993652e-01,2.599578552246093750e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.102406024932861328e-01
-3.121109724044799805e+00,6.790987253189086914e-01,6.917042136192321777e-01,2.580817260742187500e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.925351619720458984e-01
-2.676176786422729492e+00,6.590228676795959473e-01,6.732383370399475098e-01,2.561006774902343750e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.742290258407592773e-01
-2.230829000473022461e+00,6.383591890335083008e-01,6.542531847953796387e-01,2.540227508544921875e+02,4.073450165938375611e-30,0.000000000000000000e+00,6.554832458496093750e-01
-1.785122156143188477e+00,6.174091100692749023e-01,6.350082755088806152e-01,2.518719635009765625e+02,5.142258527863581190e-26,0.000000000000000000e+00,6.365301012992858887e-01
-1.339116334915161133e+00,5.966302156448364258e-01,6.157666444778442383e-01,2.496678619384765625e+02,1.041383422026799565e-22,0.000000000000000000e+00,6.176466941833496094e-01
-8.928785920143127441e-01,5.768936872482299805e-01,5.969531536102294922e-01,2.474690704345703125e+02,4.465440186578900573e-20,0.000000000000000000e+00,5.992189645767211914e-01
-4.464806914329528809e-01,5.599990487098693848e-01,5.791198611259460449e-01,2.453403015136718750e+02,5.345543452831552967e-18,0.000000000000000000e+00,5.817453265190124512e-01
0.000000000000000000e+00,5.479492545127868652e-01,5.629073977470397949e-01,2.433649749755859375e+02,2.053754994488791097e-16,0.000000000000000000e+00,5.657001733779907227e-01
4.259844720363616943e-01,5.400830507278442383e-01,5.494969487190246582e-01,2.416999053955078125e+02,3.113452344991551012e-15,0.000000000000000000e+00,5.521265268325805664e-01
