x_mm,contour_wall,center,center_T
-1.702721416950225830e+01,9.554472580201456289e-01,9.522326529964448838e-01,2.826814270019531250e+02
-1.660140790045261383e+01,9.530969612324361462e-01,9.498918126798713280e-01,2.824832458496093750e+02
-1.617524959146976471e+01,9.505788286143558308e-01,9.473910059040121512e-01,2.822712097167968750e+02
-1.574870757758617401e+01,9.478815520780430326e-01,9.447176681267986931e-01,2.820440673828125000e+02
-1.532175298780202866e+01,9.449850944853563917e-01,9.418579783519552828e-01,2.818005981445312500e+02
-1.489435788244009018e+01,9.418765606483833208e-01,9.387969913873370764e-01,2.815393676757812500e+02
-1.446649339050054550e+01,9.385377650457085164e-01,9.355185717157609160e-01,2.812589111328125000e+02
-1.403813436627388000e+01,9.349498608642289321e-01,9.320055257533435000e-01,2.809576416015625000e+02
-1.360925380140542984e+01,9.310927448366345116e-01,9.282388082994752487e-01,2.806336669921875000e+02
-1.317982748150825500e+01,9.269437346580328141e-01,9.241984483451837207e-01,2.802851257324218750e+02
-1.274983212351799011e+01,9.224788254401556920e-01,9.198623587480955210e-01,2.799098510742187500e+02
-1.231924351304769516e+01,9.176730203572033284e-01,9.152074604283053638e-01,2.795056152343750000e+02
-1.188804302364587784e+01,9.124982806416116476e-01,9.102085581725072316e-01,2.790698242187500000e+02
-1.145620923489332199e+01,9.069249142965972732e-01,9.048392003131877637e-01,2.785998535156250000e+02
-1.102372538298368454e+01,9.009217744836633956e-01,8.990706206619265561e-01,2.780927429199218750e+02
-1.059057470411062241e+01,8.944559288767564009e-01,8.928733917386152408e-01,2.775453186035156250e+02
-1.015674322843551636e+01,8.874904773996953322e-01,8.862153747672253390e-01,2.769541625976562500e+02
-9.722218848764896393e+00,8.799904377221939855e-01,8.790635712925343181e-01,2.763156433105468750e+02
-9.286991320550441742e+00,8.719144791137632966e-01,8.713837925342813318e-01,2.756258544921875000e+02
-8.851052261888980865e+00,8.632270902107669341e-01,8.631404609996614630e-01,2.748806152343750000e+02
-8.414397947490215302e+00,8.538913048078551338e-01,8.542973379041814974e-01,2.740754699707031250e+02
-7.977025583386421204e+00,8.438504502073810309e-01,8.448181183341797462e-01,2.732058105468750000e+02
-7.538935169577598572e+00,8.330677585915016170e-01,8.346667618926697507e-01,2.722667236328125000e+02
-7.100129965692758560e+00,8.215126121550702099e-01,8.238080878618587732e-01,2.712531433105468750e+02
-6.660617422312498093e+00,8.091412995175215617e-01,8.122094945615371264e-01,2.701599426269531250e+02
-6.220407783985137939e+00,7.959167883443372116e-01,7.998404303157271578e-01,2.689817810058593750e+02
-5.779515951871871948e+00,7.818101140595903331e-01,7.866751708777721674e-01,2.677134399414062500e+02
-5.337957292795181274e+00,7.667956846749619526e-01,7.726934807220247059e-01,2.663497314453125000e+02
-4.895755555480718613e+00,7.508560420898933163e-01,7.578827953064161127e-01,2.648858337402343750e+02
-4.452937282621860504e+00,7.339833830624682420e-01,7.422396097850008090e-01,2.633173217773437500e+02
-4.009532742202281952e+00,7.161820721178263627e-01,7.257723225622143559e-01,2.616404418945312500e+02
-3.565576625987887383e+00,6.974796851193498792e-01,7.085042111054681291e-01,2.598525085449218750e+02
-3.121109679341316223e+00,6.779229753893685206e-01,6.904787884078211757e-01,2.579526672363281250e+02
-2.676176838576793671e+00,6.575885866345014819e-01,6.717678707465718491e-01,2.559425201416015625e+02
-2.230829093605279922e+00,6.366028255671237757e-01,6.524850680336888864e-01,2.538283233642578125e+02
-1.785122207365930080e+00,6.152306717665481095e-01,6.328557484763839280e-01,2.516302185058593750e+02
-1.339116366580128670e+00,5.938987245005925564e-01,6.131630110462163996e-01,2.493681335449218750e+02
-8.928785682655870914e-01,5.734874936515997890e-01,5.938177162688336175e-01,2.470993499755859375e+02
-4.464806988835334778e-01,5.558753782588454762e-01,5.753867895082106498e-01,2.448899078369140625e+02
0.000000000000000000e+00,5.432920885707634984e-01,5.585597596072456872e-01,2.428291931152343750e+02
4.259844718035310507e-01,5.353116866112239691e-01,5.446374865096496043e-01,2.410902709960937500e+02
8.519678958691656590e-01,5.283077810225156323e-01,5.331080973844590787e-01,2.396254882812500000e+02
1.277949311770498753e+00,5.209572593956323106e-01,5.237386852992212960e-01,2.384176177978515625e+02
1.703928108327090740e+00,5.135159754845946001e-01,5.158431931923987968e-01,2.373875732421875000e+02
2.129903528839349747e+00,5.062136950863382889e-01,5.086800485652615000e-01,2.364434051513671875e+02
2.555875340476632118e+00,4.991841975093109784e-01,5.017855206217199937e-01,2.355256652832031250e+02
2.981842961162328720e+00,4.924171996677670360e-01,4.949798372164381233e-01,2.346109466552734375e+02
3.407806623727083206e+00,4.858651877539360009e-01,4.882600225368207147e-01,2.336989898681640625e+02
3.833765862509608269e+00,4.795074964025732300e-01,4.816774589470120271e-01,2.327968750000000000e+02
4.259720910340547562e+00,4.733234933130184285e-01,4.752722868524631994e-01,2.319105682373046875e+02
4.685672000050544739e+00,4.673067639558997621e-01,4.690604103182664519e-01,2.310428009033203125e+02
5.111619364470243454e+00,4.614699390024546988e-01,4.630445075757576023e-01,2.301945037841796875e+02
5.537563003599643707e+00,4.558445620661926712e-01,4.572258350791433834e-01,2.293665161132812500e+02
5.963503383100032806e+00,4.504257726532080452e-01,4.516070379951752090e-01,2.285597839355468750e+02
6.389441434293985367e+00,4.452131078593194458e-01,4.461928445594210424e-01,2.277756042480468750e+02
6.815377157181501389e+00,4.402128499555612029e-01,4.409877515553580762e-01,2.270152587890625000e+02
7.241311017423868179e+00,4.354407707486879775e-01,4.359968509289825489e-01,2.262801818847656250e+02
7.667243480682373047e+00,4.308754443880142282e-01,4.312263588221601496e-01,2.255718841552734375e+02
8.093175478279590607e+00,4.264920063060775313e-01,4.266817308913153917e-01,2.248919219970703125e+02
8.519189432263374329e+00,4.222663854854409871e-01,4.223611485843067337e-01,2.242406463623046875e+02
8.945203386247158051e+00,4.181865464173861735e-01,4.182538659112070567e-01,2.236170196533203125e+02
9.371217340230941772e+00,4.142593996000507595e-01,4.143393828296935699e-01,2.230186614990234375e+02
9.797231294214725494e+00,4.104731079122228010e-01,4.105906855743186035e-01,2.224418029785156250e+02
