x_mm,contour_wall,center,center_T,side_wall_mid
1.405737018585205078e+01,3.888514339923858643e-01,3.889773786067962646e-01,2.190404357910156250e+02,3.890160322189331055e-01
1.448338413238525391e+01,3.862599432468414307e-01,3.863779902458190918e-01,2.186223297119140625e+02,3.864306509494781494e-01
1.490939807891845703e+01,3.837244808673858643e-01,3.838419020175933838e-01,2.182124786376953125e+02,3.839071393013000488e-01
1.533541107177734375e+01,3.812451660633087158e-01,3.813662528991699219e-01,2.178105010986328125e+02,3.814422488212585449e-01
1.576142597198486328e+01,3.788214027881622314e-01,3.789456188678741455e-01,2.174156036376953125e+02,3.790265321731567383e-01
1.618743896484375000e+01,3.764514625072479248e-01,3.765746951103210449e-01,2.170271148681640625e+02,3.766556382179260254e-01
1.661345291137695312e+01,3.741352856159210205e-01,3.742497265338897705e-01,2.166444549560546875e+02,3.743290305137634277e-01
1.703946685791015625e+01,3.718667030334472656e-01,3.719701468944549561e-01,2.162675933837890625e+02,3.720475733280181885e-01
1.746547889709472656e+01,3.696399033069610596e-01,3.697376251220703125e-01,2.158968963623046875e+02,3.698112368583679199e-01
1.789149475097656250e+01,3.674525022506713867e-01,3.675523996353149414e-01,2.155325317382812500e+02,3.676185607910156250e-01
1.831750679016113281e+01,3.653048574924468994e-01,3.654118180274963379e-01,2.151741333007812500e+02,3.654687404632568359e-01
1.874352264404296875e+01,3.631958663463592529e-01,3.633110225200653076e-01,2.148208923339843750e+02,3.633556663990020752e-01
1.916953468322753906e+01,3.611272573471069336e-01,3.612448871135711670e-01,2.144720001220703125e+02,3.612771630287170410e-01
1.959555053710937500e+01,3.590956926345825195e-01,3.592106401920318604e-01,2.141271209716796875e+02,3.592332899570465088e-01
2.002156257629394531e+01,3.571026921272277832e-01,3.572071492671966553e-01,2.137861633300781250e+02,3.572250306606292725e-01
2.044757843017578125e+01,3.551430106163024902e-01,3.552351295948028564e-01,2.134491729736328125e+02,3.552527427673339844e-01
2.087359046936035156e+01,3.532117009162902832e-01,3.532960712909698486e-01,2.131165313720703125e+02,3.533148765563964844e-01
2.129960441589355469e+01,3.513072133064270020e-01,3.513911366462707520e-01,2.127883911132812500e+02,3.514118790626525879e-01
2.172561836242675781e+01,3.494303524494171143e-01,3.495196998119354248e-01,2.124648284912109375e+02,3.495409786701202393e-01
2.215163230895996094e+01,3.475814461708068848e-01,3.476790189743041992e-01,2.121453247070312500e+02,3.476983010768890381e-01
2.257764625549316406e+01,3.457621932029724121e-01,3.458656668663024902e-01,2.118294982910156250e+02,3.458821177482604980e-01
2.300366020202636719e+01,3.439724147319793701e-01,3.440755307674407959e-01,2.115164489746093750e+02,3.440925776958465576e-01
2.342967414855957031e+01,3.422110080718994141e-01,3.423076868057250977e-01,2.112062225341796875e+02,3.423298299312591553e-01
2.385568809509277344e+01,3.404792845249176025e-01,3.405627310276031494e-01,2.108988494873046875e+02,3.405934274196624756e-01
2.428170013427734375e+01,3.387734889984130859e-01,3.388430476188659668e-01,2.105948791503906250e+02,3.388820886611938477e-01
2.470771598815917969e+01,3.370893895626068115e-01,3.371508717536926270e-01,2.102946319580078125e+02,3.371959030628204346e-01
2.513372802734375000e+01,3.354266881942749023e-01,3.354879319667816162e-01,2.099985351562500000e+02,3.355351686477661133e-01
2.555974388122558594e+01,3.337847888469696045e-01,3.338535726070404053e-01,2.097064971923828125e+02,3.338968455791473389e-01
2.598575782775878906e+01,3.321645557880401611e-01,3.322449028491973877e-01,2.094180603027343750e+02,3.322794139385223389e-01
2.641177177429199219e+01,3.305669128894805908e-01,3.306569457054138184e-01,2.091324005126953125e+02,3.306826651096343994e-01
2.683778572082519531e+01,3.289928436279296875e-01,3.290861546993255615e-01,2.088488006591796875e+02,3.291069269180297852e-01
2.726379966735839844e+01,3.274424672126770020e-01,3.275316953659057617e-01,2.085672149658203125e+02,3.275522589683532715e-01
2.768981361389160156e+01,3.259143233299255371e-01,3.259944319725036621e-01,2.082877655029296875e+02,3.260177671909332275e-01
2.811582565307617188e+01,3.244082629680633545e-01,3.244766592979431152e-01,2.080109558105468750e+02,3.245026767253875732e-01
2.854184150695800781e+01,3.229223191738128662e-01,3.229798674583435059e-01,2.077370605468750000e+02,3.230068683624267578e-01
2.896785354614257812e+01,3.214532732963562012e-01,3.215047419071197510e-01,2.074662322998046875e+02,3.215314149856567383e-01
2.939386940002441406e+01,3.199996352195739746e-01,3.200519084930419922e-01,2.071986694335937500e+02,3.200754225254058838e-01
2.981988143920898438e+01,3.185614645481109619e-01,3.186202347278594971e-01,2.069341278076171875e+02,3.186370730400085449e-01
3.024589729309082031e+01,3.171391189098358154e-01,3.172076344490051270e-01,2.066723022460937500e+02,3.172161877155303955e-01
3.067190933227539062e+01,3.157339394092559814e-01,3.158115744590759277e-01,2.064126586914062500e+02,3.158131837844848633e-01
3.109792518615722656e+01,3.143469095230102539e-01,3.144294917583465576e-01,2.061548309326171875e+02,3.144275546073913574e-01
3.152393531799316406e+01,3.129781484603881836e-01,3.130597174167633057e-01,2.058984985351562500e+02,3.130594193935394287e-01
3.194995307922363281e+01,3.116272687911987305e-01,3.117030560970306396e-01,2.056438903808593750e+02,3.117073774337768555e-01
3.237596511840820312e+01,3.102938234806060791e-01,3.103605210781097412e-01,2.053910675048828125e+02,3.103705942630767822e-01
3.280197906494140625e+01,3.089764714241027832e-01,3.090340197086334229e-01,2.051404876708984375e+02,3.090486228466033936e-01
3.322799301147460938e+01,3.076746761798858643e-01,3.077244162559509277e-01,2.048924407958984375e+02,3.077421784400939941e-01
3.365400695800781250e+01,3.063874542713165283e-01,3.064322471618652344e-01,2.046468963623046875e+02,3.064513504505157471e-01
3.408002090454101562e+01,3.051128387451171875e-01,3.051569759845733643e-01,2.044038391113281250e+02,3.051749467849731445e-01
3.450603485107421875e+01,3.038497865200042725e-01,3.038972616195678711e-01,2.041630706787109375e+02,3.039126992225646973e-01
3.493204879760742188e+01,3.025994598865509033e-01,3.026528954505920410e-01,2.039245147705078125e+02,3.026644885540008545e-01
3.535805892944335938e+01,3.013621568679809570e-01,3.014225363731384277e-01,2.036879577636718750e+02,3.014302849769592285e-01
3.578407669067382812e+01,3.001386523246765137e-01,3.002046644687652588e-01,2.034530944824218750e+02,3.002097904682159424e-01
3.621009063720703125e+01,2.989302873611450195e-01,2.989988029003143311e-01,2.032198944091796875e+02,2.990029752254486084e-01
3.663610458374023438e+01,2.977362871170043945e-01,2.978036701679229736e-01,2.029880676269531250e+02,2.978090643882751465e-01
3.706211471557617188e+01,2.965563535690307617e-01,2.966193556785583496e-01,2.027576751708984375e+02,2.966273725032806396e-01
3.748813247680664062e+01,2.953903973102569580e-01,2.954471111297607422e-01,2.025290374755859375e+02,2.954576313495635986e-01
3.791414642333984375e+01,2.942371666431427002e-01,2.942877411842346191e-01,2.023022460937500000e+02,2.942998111248016357e-01
3.834016036987304688e+01,2.930959761142730713e-01,2.931418716907501221e-01,2.020774383544921875e+02,2.931542694568634033e-01
3.876617050170898438e+01,2.919659912586212158e-01,2.920089364051818848e-01,2.018546295166015625e+02,2.920209169387817383e-01
3.919218444824218750e+01,2.908473014831542969e-01,2.908886671066284180e-01,2.016336364746093750e+02,2.908990383148193359e-01
3.961820220947265625e+01,2.897390425205230713e-01,2.897807061672210693e-01,2.014144897460937500e+02,2.897884249687194824e-01
4.004421615600585938e+01,2.886400520801544189e-01,2.886837422847747803e-01,2.011969451904296875e+02,2.886890470981597900e-01
4.047022628784179688e+01,2.875515818595886230e-01,2.875981330871582031e-01,2.009810638427734375e+02,2.876009047031402588e-01
4.089624023437500000e+01,2.864730656147003174e-01,2.865234911441802979e-01,2.007667694091796875e+02,2.865237593650817871e-01
4.132225799560546875e+01,2.854052782058715820e-01,2.854595780372619629e-01,2.005540771484375000e+02,2.854574620723724365e-01
4.174827194213867188e+01,2.843489348888397217e-01,2.844056487083435059e-01,2.003428344726562500e+02,2.844022512435913086e-01
4.217428207397460938e+01,2.833043336868286133e-01,2.833617031574249268e-01,2.001329956054687500e+02,2.833574116230010986e-01
4.260029602050781250e+01,2.822706997394561768e-01,2.823268175125122070e-01,1.999244537353515625e+02,2.823229432106018066e-01
4.302630996704101562e+01,2.812470793724060059e-01,2.813003361225128174e-01,1.997170867919921875e+02,2.812984585762023926e-01
4.345232772827148438e+01,2.802343666553497314e-01,2.802832126617431641e-01,1.995110321044921875e+02,2.802837491035461426e-01
4.387833786010742188e+01,2.792310118675231934e-01,2.792759537696838379e-01,1.993064727783203125e+02,2.792786657810211182e-01
4.430435180664062500e+01,2.782367169857025146e-01,2.782783806324005127e-01,1.991033782958984375e+02,2.782827913761138916e-01
4.473036575317382812e+01,2.772516906261444092e-01,2.772910594940185547e-01,1.989017944335937500e+02,2.772956788539886475e-01
4.515638351440429688e+01,2.762753665447235107e-01,2.763139009475708008e-01,1.987018432617187500e+02,2.763174474239349365e-01
4.558239364624023438e+01,2.753070592880249023e-01,2.753455638885498047e-01,1.985031280517578125e+02,2.753480672836303711e-01
4.600840759277343750e+01,2.743480801582336426e-01,2.743864059448242188e-01,1.983058776855468750e+02,2.743874192237854004e-01
4.643442153930664062e+01,2.733967900276184082e-01,2.734358906745910645e-01,1.981098937988281250e+02,2.734356522560119629e-01
4.686043548583984375e+01,2.724537849426269531e-01,2.724944055080413818e-01,1.979152984619140625e+02,2.724928259849548340e-01
4.728644943237304688e+01,2.715190351009368896e-01,2.715617716312408447e-01,1.977220153808593750e+02,2.715587615966796875e-01
4.771246337890625000e+01,2.705930173397064209e-01,2.706380486488342285e-01,1.975301361083984375e+02,2.706332802772521973e-01
4.813847732543945312e+01,2.696756124496459961e-01,2.697228491306304932e-01,1.973395996093750000e+02,2.697164118289947510e-01
4.856449127197265625e+01,2.687665224075317383e-01,2.688155770301818848e-01,1.971502075195312500e+02,2.688079476356506348e-01
4.899050521850585938e+01,2.678661048412322998e-01,2.679159343242645264e-01,1.969619750976562500e+02,2.679077386856079102e-01
