step,physID,n,Tw_mean,Tw_min,Tw_max,dTw_max,res_abs_Wm2,res_max_W,res_rel,q_total,res_solid
3450,5,480,5.8722648826e+02,5.2581913072e+02,6.5675559300e+02,3.2937877801e-03,7.1268825002e+01,6.5424104561e-02,3.3281582967e-04,4.3453224781e+04,6.3254969649e-03
3500,5,480,5.8722642398e+02,5.2582239016e+02,6.5675414586e+02,3.7680937417e-03,7.0738449399e+01,6.3352274556e-02,3.2227009012e-04,4.3455568784e+04,6.5237988632e-03
3550,5,480,5.8722662915e+02,5.2582604690e+02,6.5675298334e+02,4.2139700173e-03,8.0051841195e+01,7.4497332316e-02,3.7895082201e-04,4.3457489974e+04,6.6602545961e-03
3600,5,480,5.8722709222e+02,5.2582987136e+02,6.5675185791e+02,4.2989240317e-03,8.2507570615e+01,7.6927761895e-02,3.9129957162e-04,4.3459328430e+04,6.7364888713e-03
3650,5,480,5.8722779578e+02,5.2583380237e+02,6.5675067574e+02,4.5369506053e-03,8.8644246776e+01,7.9524666126e-02,4.0450196349e-04,4.3461099001e+04,6.7526865063e-03
3700,5,480,5.8722868566e+02,5.2583771966e+02,6.5674972567e+02,4.6820142954e-03,9.1755009902e+01,7.9246530724e-02,4.0308074924e-04,4.3462576997e+04,6.7285500576e-03
3750,5,480,5.8722974105e+02,5.2584159592e+02,6.5674916472e+02,4.6483788641e-03,9.0596040764e+01,7.8577957975e-02,3.9966965297e-04,4.3464015731e+04,6.6856246616e-03
3800,5,480,5.8723088568e+02,5.2584543982e+02,6.5674896469e+02,4.6458864542e-03,9.0588541842e+01,7.8661422071e-02,4.0008197644e-04,4.3465043623e+04,6.6248054239e-03
3850,5,480,5.8723202781e+02,5.2584883574e+02,6.5674920188e+02,4.2722990182e-03,8.3591363268e+01,7.2535950627e-02,3.6892110969e-04,4.3465334822e+04,6.5388033657e-03
3900,5,480,5.8723315579e+02,5.2585181580e+02,6.5674982995e+02,3.8824154608e-03,7.5406143096e+01,6.3157531898e-02,3.2121923171e-04,4.3465563453e+04,6.4298082028e-03
3950,5,480,5.8723430628e+02,5.2585455635e+02,6.5675075748e+02,3.6005247545e-03,6.9780097548e+01,5.7719646313e-02,2.9355803457e-04,4.3466037652e+04,6.3032925021e-03
