x y z Ts
6.0168232769e-02 5.9477996081e-02 0.0000000000e+00 5.7418981934e+02
6.0476217419e-02 5.8571361005e-02 0.0000000000e+00 5.7303179932e+02
6.0782045126e-02 5.7668972760e-02 0.0000000000e+00 5.7124621582e+02
6.1084635556e-02 5.6774199009e-02 0.0000000000e+00 5.6886633301e+02
6.1383802444e-02 5.5887777358e-02 0.0000000000e+00 5.6597387695e+02
6.1680059880e-02 5.5007752031e-02 0.0000000000e+00 5.6271624756e+02
6.1974894255e-02 5.4130192846e-02 0.0000000000e+00 5.5943280029e+02
6.2269378453e-02 5.3251493722e-02 0.0000000000e+00 5.5646710205e+02
6.2563665211e-02 5.2371263504e-02 0.0000000000e+00 5.5417602539e+02
6.2857419252e-02 5.1490485668e-02 0.0000000000e+00 5.5319177246e+02
6.3151337206e-02 5.0607029349e-02 0.0000000000e+00 5.5366815186e+02
6.3446104527e-02 4.9718748778e-02 0.0000000000e+00 5.5559863281e+02
6.3739918172e-02 4.8830967396e-02 0.0000000000e+00 5.5869232178e+02
6.4030252397e-02 4.7951385379e-02 0.0000000000e+00 5.6248461914e+02
6.4317695796e-02 4.7078162432e-02 0.0000000000e+00 5.6650054932e+02
6.4605236053e-02 4.6202499419e-02 0.0000000000e+00 5.7036529541e+02
6.4894154668e-02 4.5319758356e-02 0.0000000000e+00 5.7379095459e+02
6.5184086561e-02 4.4431705028e-02 0.0000000000e+00 5.7654425049e+02
6.5474383533e-02 4.3539945036e-02 0.0000000000e+00 5.7842657471e+02
6.5764822066e-02 4.2644713074e-02 0.0000000000e+00 5.7938061523e+02
6.6054955125e-02 4.1747741401e-02 0.0000000000e+00 5.7938018799e+02
6.6343948245e-02 4.0851835161e-02 0.0000000000e+00 5.7842242432e+02
6.6630892456e-02 3.9959236979e-02 0.0000000000e+00 5.7664099121e+02
6.6915377975e-02 3.9071634412e-02 0.0000000000e+00 5.7440234375e+02
6.7197494209e-02 3.8188479841e-02 0.0000000000e+00 5.7223315430e+02
6.7478425801e-02 3.7306487560e-02 0.0000000000e+00 5.7081567383e+02
